Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Botswana,2014,1.90,0.00,0.00,1.90,0.00,0.00,0.00,1684.00,3449.00,2323.00,2312.00,0.00,11.00,0.00,11.00,0.00,0.00,59.90,76.60,27.10,1071.20,1590.40,,,,,,,,,,,,
Botswana,2015,2.20,0.00,0.00,2.20,0.00,0.00,0.00,1468.00,3552.90,2968.00,2966.00,0.00,2.00,0.00,2.00,0.00,0.00,62.10,79.60,26.50,1343.50,1608.20,,,,,,,,,,,,
Botswana,2016,3.30,0.00,0.00,3.30,0.00,0.00,0.00,1673.00,3479.00,2688.00,2686.00,0.00,2.00,0.00,2.00,0.00,0.00,64.30,81.10,28.70,1194.50,1546.00,,,,,,,,,,,,
Botswana,2017,3.40,0.00,0.00,3.40,0.00,0.00,0.00,1306.70,3294.00,2722.50,2720.40,0.00,2.00,0.00,2.00,0.00,0.00,67.40,84.00,31.00,1188.00,1437.40,,,,,,,,,,,,
Botswana,2018,3.90,0.00,0.00,3.90,0.00,0.00,0.00,1340.80,3385.70,3057.50,3057.50,0.00,0.00,0.00,0.00,0.00,0.00,68.40,85.70,29.00,1310.40,1451.10,,,,,,,,,,,,
Botswana,2019,6.10,0.00,0.00,6.10,0.00,0.00,0.00,1366.90,3534.00,3101.80,3101.80,0.00,0.00,0.00,0.00,0.00,0.00,70.20,88.30,27.60,1306.20,1488.20,,,,,,,,,,,,
Botswana,2020,6.10,0.00,0.00,6.10,0.00,0.00,0.00,1393.00,3695.00,3149.40,3149.40,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,1303.70,1529.50,,,,,,,,,,,,
Burundi,2013,57.40,50.80,0.00,2.60,4.00,0.00,0.00,91.70,144.50,184.00,4.40,0.00,179.60,178.70,0.90,0.00,0.00,6.90,52.40,1.00,19.20,15.10,,,,,,,,,,,,
Burundi,2014,57.60,50.80,0.00,2.80,4.00,0.00,0.00,91.70,144.50,184.00,4.00,0.00,180.00,179.00,1.00,0.00,0.00,7.00,52.10,1.00,18.60,14.60,,,,,,,,,,,,
Burundi,2015,57.90,50.80,0.00,3.10,4.00,0.00,0.00,98.00,148.80,186.50,4.10,0.00,182.40,181.40,1.00,0.00,0.00,8.40,57.10,1.70,18.30,14.60,,,,,,,,,,,,
Burundi,2016,58.90,50.80,0.00,4.10,4.00,0.00,0.00,104.90,161.10,189.10,4.30,0.00,184.80,183.80,1.00,0.00,0.00,9.30,58.70,2.30,18.00,15.30,,,,,,,,,,,,
Burundi,2017,57.40,48.30,0.00,5.10,4.00,0.00,0.00,112.50,177.80,260.30,73.80,0.00,186.50,185.50,1.00,0.00,0.00,9.30,58.10,2.20,24.00,16.40,,,,,,,,,,,,
